Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Fördergegenstand — Anmerkungen	Programm	Kurzname	Verein_key
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2023	12000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Bildende Kunst und Medienkunst		TONSPUR	tonspur kunstverein wien
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2023	170000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderungen (Jahrestätigkeit)		Porgy & Bess	jazz & musicclub porgy & bess
Verein für Kunstvermischung	448124582	17	MA7	Beschluss	2023	25000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	BDMM | Beatnik Manifiesto Manifesto		verein für kunstvermischung
"""Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Beschluss	2023	32000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen	Salam Orient		"""vienna.acts"", verein zur förderung von kunst"
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	MA7	Beschluss	2024	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Erdbeerfrosch Soireés	Semmelweisklinik	kunst- und kulturverein semmelweisklinik
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	MA7	Beschluss	2024	18000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen	Open Studio Days | Klinik unter Palmen 	Semmelweisklinik	kunst- und kulturverein semmelweisklinik
XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene Wiens	1792507501	19	MA7	Beschluss	2024	16000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Festivals Musik	Jahresendzeitschokoladenhohlkörper	XOK	xok - interessensgemeinschaft der experimentellen musik- und klangkunstszene wiens
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel: Ventil"	462456728	18	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	EARDRUMS	Ventil Records	"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
snim - spontanes Netzwerk für improvisierte Musik	461480763	15	MA7	Beschluss	2024	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Projektreihe 2024		snim - spontanes netzwerk für improvisierte musik
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	1799027468	18	MA7	Beschluss	2024	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Equation Echo & the Transformative	Augend&Addend	augend&addend - verein zur förderung und erweiterung transformativer\nklangräume und queerer clubkultur
liccht - kulturverein für nischenmusik und populärkultur	1472352125	3	MA7	Beschluss	2024	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Veranstaltungsreihe „liccht“	liccht	liccht - kulturverein für nischenmusik und populärkultur
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	6	MA7	Beschluss	2024	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Festivals Musik	SUENA Festival	SUENA	suena - verein zur förderung und verbreitung neuer musik
Klangmanifeste - Verein für Klang-/Kunst-/Formen	771245267	5	MA7	Beschluss	2024	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Klangmanifeste		klangmanifeste - verein für klang-/kunst-/formen
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2024	13000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Musik		TONSPUR	tonspur kunstverein wien
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2024	12000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Bildende Kunst und Medienkunst		TONSPUR	tonspur kunstverein wien
TONSPUR Kunstverein Wien	824358800	7	BMKöS_BMWKMS	Beschluss	2024	25000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Medienkunst Jahresprogramme — Ausnahme		TONSPUR	tonspur kunstverein wien
TONSPUR Kunstverein Wien	824358800	7	BMKöS_BMWKMS	Beschluss	2023	23000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Medienkunst Jahresprogramme — Ausnahme		TONSPUR	tonspur kunstverein wien
TONSPUR Kunstverein Wien	824358800	7	BMKöS_BMWKMS	Beschluss	2023	10000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Digitalisierung Digitale Transformation — Ausnahme		TONSPUR	tonspur kunstverein wien
TONSPUR Kunstverein Wien	824358800	7	BMKöS_BMWKMS	Beschluss	2022	22776.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Medienkunst Jahresprogramme — Ausnahme		TONSPUR	tonspur kunstverein wien
TONSPUR Kunstverein Wien	824358800	7	BMKöS_BMWKMS	Beschluss	2022	10000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musik Institutionen	Tonspur für einen öffentlichen Raum | Tonspur passage	TONSPUR	tonspur kunstverein wien
Verein für experimentelle improvisierte Musik (VEIM)	420413087	4	MA7	Beschluss	2024	13000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Monday Improvisers Session	VEIM	verein für experimentelle improvisierte musik (veim)
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2024	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Musik		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	MA7	Beschluss	2024	18000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Musik		Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	20	MA7	Beschluss	2024	9000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Vereinsaktivitäten „Floating Sound Gallery Vienna“	Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2024	22000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Musik			the acousmatic project - verein zur förderung akusmatischer musik
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	MA7	Beschluss	2024	30000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	Struma+Iodine	Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	MA7	Beschluss	2024	60000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Festivals Musik	Unsafe+Sounds Festival	Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	BMKöS_BMWKMS	Beschluss	2024	12000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Musikförderung Projekte	Unsafe+Sounds Festival	Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
"""Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Beschluss	2024	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Festivals Musik	DE/SEMBLE Festival		"""vienna.acts"", verein zur förderung von kunst"
"""Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Beschluss	2024	35000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen	Salam Music & Arts Festival		"""vienna.acts"", verein zur förderung von kunst"
