Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
FAM Kulturverein	1490968765	Klagenfurt	MA7	Beschluss	2022	3000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Projekt: NAWA music & film festival 2022	NAWA Festival		fam kulturverein
Klangmanifeste - Verein für Klang-/Kunst-/Formen	77124526	5	MA7	Beschluss	2022	4800.0	Förderbericht der Stadt Wien 2022	ausbezahlt			klangmanifeste - verein für klang-/kunst-/formen
"Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Beschluss	2022	22000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Salam Orient 2022	Salam Orient		"""vienna.acts"", verein zur förderung von kunst"
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2023	13000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung. Festival SUAL		TONSPUR	tonspur kunstverein wien
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2023	170000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 150.000 + Erhöhung 20.000		Porgy & Bess	jazz & musicclub porgy & bess
Verein für Kunstvermischung	448124582	17	MA7	Beschluss	2023	25000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: BDMM 20.000 + Beatnik Manifesto 5.000			verein für kunstvermischung
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	1799027468	16	MA7	Beschluss	2023	4000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Antragsteller: Waldhör Simon Herbert		Augend&Addend	augend&addend - verein zur förderung und erweiterung transformativer\nklangräume und queerer clubkultur
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2023	25000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: 15.000 (2. HJ) + 10.000 (1. HJ). Venue: rhiz wien		rhiz	rantasa + rantasa gmbh
"Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Beschluss	2023	32000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Salam Orient 2023	Salam Orient		"""vienna.acts"", verein zur förderung von kunst"
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	MA7	Beschluss	2024	5000.0	Förderbericht der Stadt Wien 2024 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Erdbeerfrosch Soireés	Erdbeerfrosch Soireés	Semmelweisklinik	kunst- und kulturverein semmelweisklinik
